"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","23","PR73824","VALENCIA AT DORAL CONDO NO 1","10065 NW 46TH ST","","DORAL","FL","33178","2022","640","640","0"
"Condominium Project","23","PR73824","VALENCIA AT DORAL CONDO NO 1","10065 NW 46TH ST","","DORAL","FL","33178","2023","640","640","0"
"Condominium Project","23","PR73824","VALENCIA AT DORAL CONDO NO 1","10065 NW 46TH ST","","DORAL","FL","33178","2024","640","640","0"
"Condominium Project","23","PR73824","VALENCIA AT DORAL CONDO NO 1","10065 NW 46TH ST","","DORAL","FL","33178","2025","640","640","0"
"Condominium Project","23","PR73824","VALENCIA AT DORAL CONDO NO 1","10065 NW 46TH ST","","DORAL","FL","33178","2026","640","640","0"
"Condominium Project","23","PR73825","VALENCIA AT DORAL CONDO NO 2","4555 NW 99TH AVE","","DORAL","FL","33178","2022","600","600","0"
"Condominium Project","23","PR73825","VALENCIA AT DORAL CONDO NO 2","4555 NW 99TH AVE","","DORAL","FL","33178","2023","600","600","0"
"Condominium Project","23","PR73825","VALENCIA AT DORAL CONDO NO 2","4555 NW 99TH AVE","","DORAL","FL","33178","2024","600","600","0"
"Condominium Project","23","PR73825","VALENCIA AT DORAL CONDO NO 2","4555 NW 99TH AVE","","DORAL","FL","33178","2025","600","600","0"
"Condominium Project","23","PR73825","VALENCIA AT DORAL CONDO NO 2","4555 NW 99TH AVE","","DORAL","FL","33178","2026","600","600","0"
"Condominium Project","46","PR1P025832","VALENCIA AT MIROMAR LAKES BEACH AND GOLFCLUB, A CONDO","VALIANT CT","","FORT MYERS","FL","33913","2025","320","320","0"
"Condominium Project","46","PR1P025832","VALENCIA AT MIROMAR LAKES BEACH AND GOLFCLUB, A CONDO","VALIANT CT","","FORT MYERS","FL","33913","2024","320","320","0"
"Condominium Project","46","PR1P025832","VALENCIA AT MIROMAR LAKES BEACH AND GOLFCLUB, A CONDO","VALIANT CT","","FORT MYERS","FL","33913","2023","320","320","0"
"Condominium Project","46","PR1P025832","VALENCIA AT MIROMAR LAKES BEACH AND GOLFCLUB, A CONDO","VALIANT CT","","FORT MYERS","FL","33913","2022","320","320","0"
"Condominium Project","46","PR1P025832","VALENCIA AT MIROMAR LAKES BEACH AND GOLFCLUB, A CONDO","VALIANT CT","","FORT MYERS","FL","33913","2026","320","320","0"
"Condominium Project","21","PR1S020183","VALENCIA AT PELICAN BAY, A CONDO","401 GULF PARK DRIVE","","NAPLES","FL","339638297","2023","540","540","0"
"Condominium Project","21","PR1S020183","VALENCIA AT PELICAN BAY, A CONDO","401 GULF PARK DRIVE","","NAPLES","FL","339638297","2022","540","594","0"
"Condominium Project","21","PR1S020183","VALENCIA AT PELICAN BAY, A CONDO","401 GULF PARK DRIVE","","NAPLES","FL","339638297","2024","540","540","0"
"Condominium Project","21","PR1S020183","VALENCIA AT PELICAN BAY, A CONDO","401 GULF PARK DRIVE","","NAPLES","FL","339638297","2026","540","540","0"
"Condominium Project","21","PR1S020183","VALENCIA AT PELICAN BAY, A CONDO","401 GULF PARK DRIVE","","NAPLES","FL","339638297","2025","540","540","0"
"Condominium Project","26","PR70525","VALENCIA AT SOUTH BEACH, A CONDO","950-270 MARSH LANDING PARKWAY","","JACKSONVILLE BEACH","FL","32250","2022","816","816","0"
"Condominium Project","26","PR70525","VALENCIA AT SOUTH BEACH, A CONDO","950-270 MARSH LANDING PARKWAY","","JACKSONVILLE BEACH","FL","32250","2023","816","816","0"
"Condominium Project","26","PR70525","VALENCIA AT SOUTH BEACH, A CONDO","950-270 MARSH LANDING PARKWAY","","JACKSONVILLE BEACH","FL","32250","2024","816","816","0"
"Condominium Project","26","PR70525","VALENCIA AT SOUTH BEACH, A CONDO","950-270 MARSH LANDING PARKWAY","","JACKSONVILLE BEACH","FL","32250","2025","816","816","0"
"Condominium Project","26","PR70525","VALENCIA AT SOUTH BEACH, A CONDO","950-270 MARSH LANDING PARKWAY","","JACKSONVILLE BEACH","FL","32250","2026","816","816","0"
"Condominium Project","60","PR1M017614","VALENCIA C","7000 WEST ATLANTIC AVENUE","","DELRAY BEACH","FL","334461602","2025","96","96","0"
"Condominium Project","60","PR1M017614","VALENCIA C","7000 WEST ATLANTIC AVENUE","","DELRAY BEACH","FL","334461602","2026","96","96","0"
"Condominium Project","60","PR1M017614","VALENCIA C","7000 WEST ATLANTIC AVENUE","","DELRAY BEACH","FL","334461602","2023","96","96","0"
"Condominium Project","60","PR1M017614","VALENCIA C","7000 WEST ATLANTIC AVENUE","","DELRAY BEACH","FL","334461602","2024","96","96","0"
"Condominium Project","60","PR1M017614","VALENCIA C","7000 WEST ATLANTIC AVENUE","","DELRAY BEACH","FL","334461602","2022","96","116.16","0"
"Condominium Project","56","PR1S008096","VALENCIA CONDO","151 CALHOUN AVE","","DESTIN","FL","325410899","2023","240","240","0"
"Condominium Project","56","PR1S008096","VALENCIA CONDO","151 CALHOUN AVE","","DESTIN","FL","325410899","2022","240","240","0"
"Condominium Project","56","PR1S008096","VALENCIA CONDO","151 CALHOUN AVE","","DESTIN","FL","325410899","2026","240","240","0"
"Condominium Project","56","PR1S008096","VALENCIA CONDO","151 CALHOUN AVE","","DESTIN","FL","325410899","2025","240","240","0"
"Condominium Project","56","PR1S008096","VALENCIA CONDO","151 CALHOUN AVE","","DESTIN","FL","325410899","2024","240","240","0"
"Condominium Project","60","PR1M016506","VALENCIA CONDO ASSN INC SEC A, B, D-I","1080 NW 1ST AVE","","BOCA RATON","FL","334322608","2026","768","768","0"
"Condominium Project","60","PR1M016506","VALENCIA CONDO ASSN INC SEC A, B, D-I","1080 NW 1ST AVE","","BOCA RATON","FL","334322608","2025","768","768","0"
"Condominium Project","60","PR1M016506","VALENCIA CONDO ASSN INC SEC A, B, D-I","1080 NW 1ST AVE","","BOCA RATON","FL","334322608","2022","768","929.28","0"
"Condominium Project","60","PR1M016506","VALENCIA CONDO ASSN INC SEC A, B, D-I","1080 NW 1ST AVE","","BOCA RATON","FL","334322608","2024","768","768","0"
"Condominium Project","60","PR1M016506","VALENCIA CONDO ASSN INC SEC A, B, D-I","1080 NW 1ST AVE","","BOCA RATON","FL","334322608","2023","768","768","0"
"Condominium Project","23","PR1S021689","VALENCIA ESTATES CONDO # 5\10","1445 W 40TH ST","","HIALEAH","FL","33140","2024","","",""
"Condominium Project","23","PR1S021689","VALENCIA ESTATES CONDO # 5\10","1445 W 40TH ST","","HIALEAH","FL","33140","2022","","",""
"Condominium Project","23","PR1S021689","VALENCIA ESTATES CONDO # 5\10","1445 W 40TH ST","","HIALEAH","FL","33140","2023","","",""
"Condominium Project","23","PR1S021689","VALENCIA ESTATES CONDO # 5\10","1445 W 40TH ST","","HIALEAH","FL","33140","2025","","",""
"Condominium Project","23","PR1S021689","VALENCIA ESTATES CONDO # 5\10","1445 W 40TH ST","","HIALEAH","FL","33140","2026","","",""
"Condominium Project","23","PR1S021688","VALENCIA ESTATES CONDO # 5\9","1435 W 40TH ST","","HIALEAH","FL","33140","2026","","",""
"Condominium Project","23","PR1S021688","VALENCIA ESTATES CONDO # 5\9","1435 W 40TH ST","","HIALEAH","FL","33140","2025","","",""
"Condominium Project","23","PR1S021688","VALENCIA ESTATES CONDO # 5\9","1435 W 40TH ST","","HIALEAH","FL","33140","2023","","",""
"Condominium Project","23","PR1S021688","VALENCIA ESTATES CONDO # 5\9","1435 W 40TH ST","","HIALEAH","FL","33140","2022","","",""
"Condominium Project","23","PR1S021688","VALENCIA ESTATES CONDO # 5\9","1435 W 40TH ST","","HIALEAH","FL","33140","2024","","",""
"Condominium Project","51","PR1X008970","VALENCIA GARDEN CONDO I","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2025","208","208","0"
"Condominium Project","51","PR1X008970","VALENCIA GARDEN CONDO I","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2026","208","208","0"
"Condominium Project","51","PR1X008970","VALENCIA GARDEN CONDO I","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2023","208","208","0"
"Condominium Project","51","PR1X008970","VALENCIA GARDEN CONDO I","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2022","208","208","0"
"Condominium Project","51","PR1X008970","VALENCIA GARDEN CONDO I","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2024","208","208","0"
"Condominium Project","51","PR1S008971","VALENCIA GARDEN CONDO II","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2024","256","256","0"
"Condominium Project","51","PR1S008971","VALENCIA GARDEN CONDO II","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2025","256","256","0"
"Condominium Project","51","PR1S008971","VALENCIA GARDEN CONDO II","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2026","256","256","0"
"Condominium Project","51","PR1S008971","VALENCIA GARDEN CONDO II","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2022","256","256","0"
"Condominium Project","51","PR1S008971","VALENCIA GARDEN CONDO II","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2023","256","256","0"
"Condominium Project","51","PR1S008972","VALENCIA GARDEN CONDO III","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2023","232","232","0"
"Condominium Project","51","PR1S008972","VALENCIA GARDEN CONDO III","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2022","232","232","0"
"Condominium Project","51","PR1S008972","VALENCIA GARDEN CONDO III","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2026","232","232","0"
"Condominium Project","51","PR1S008972","VALENCIA GARDEN CONDO III","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2025","232","232","0"
"Condominium Project","51","PR1S008972","VALENCIA GARDEN CONDO III","3500 EL CONQUISTADOR PARKWAY","","BRADENTON","FL","342103801","2024","232","232","0"
"Condominium Project","23","PR71479","VALENCIA GRANDE, A CONDO","640 - 642 VALENCIA AVE","","CORAL GABLES","FL","33134","2022","128","140.8","0"
"Condominium Project","23","PR71479","VALENCIA GRANDE, A CONDO","640 - 642 VALENCIA AVE","","CORAL GABLES","FL","33134","2023","128","128","0"
"Condominium Project","23","PR71479","VALENCIA GRANDE, A CONDO","640 - 642 VALENCIA AVE","","CORAL GABLES","FL","33134","2024","128","128","0"
"Condominium Project","23","PR71479","VALENCIA GRANDE, A CONDO","640 - 642 VALENCIA AVE","","CORAL GABLES","FL","33134","2025","128","128","0"
"Condominium Project","23","PR71479","VALENCIA GRANDE, A CONDO","640 - 642 VALENCIA AVE","","CORAL GABLES","FL","33134","2026","128","128","0"
"Condominium Project","23","PR1U007811","VALENCIA I CONDO OF HIALEAH","1400 & 1402 WEST 42ND PLACE","","HIALEAH","FL","33012","2025","","",""
"Condominium Project","23","PR1U007811","VALENCIA I CONDO OF HIALEAH","1400 & 1402 WEST 42ND PLACE","","HIALEAH","FL","33012","2024","","",""
"Condominium Project","23","PR1U007811","VALENCIA I CONDO OF HIALEAH","1400 & 1402 WEST 42ND PLACE","","HIALEAH","FL","33012","2023","","",""
"Condominium Project","23","PR1U007811","VALENCIA I CONDO OF HIALEAH","1400 & 1402 WEST 42ND PLACE","","HIALEAH","FL","33012","2026","","",""
"Condominium Project","23","PR1U007811","VALENCIA I CONDO OF HIALEAH","1400 & 1402 WEST 42ND PLACE","","HIALEAH","FL","33012","2022","","",""
"Condominium Project","23","PR75944","VALENCIA II TOWNHOMES, A CONDO","550 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2022","16","16","0"
"Condominium Project","23","PR75944","VALENCIA II TOWNHOMES, A CONDO","550 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2023","16","16","0"
"Condominium Project","23","PR75944","VALENCIA II TOWNHOMES, A CONDO","550 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2024","16","16","0"
"Condominium Project","23","PR75944","VALENCIA II TOWNHOMES, A CONDO","550 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2025","16","16","0"
"Condominium Project","23","PR75944","VALENCIA II TOWNHOMES, A CONDO","550 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2026","16","16","0"
"Condominium Project","39","PR70921","VALENCIA IN OLD HYDE PARK, A CONDO, THE","602 S ROME AVE","","TAMPA","FL","33606","2022","88","96.8","0"
"Condominium Project","39","PR70921","VALENCIA IN OLD HYDE PARK, A CONDO, THE","602 S ROME AVE","","TAMPA","FL","33606","2023","88","88","0"
"Condominium Project","39","PR70921","VALENCIA IN OLD HYDE PARK, A CONDO, THE","602 S ROME AVE","","TAMPA","FL","33606","2024","88","88","0"
"Condominium Project","39","PR70921","VALENCIA IN OLD HYDE PARK, A CONDO, THE","602 S ROME AVE","","TAMPA","FL","33606","2025","88","96.8","0"
"Condominium Project","39","PR70921","VALENCIA IN OLD HYDE PARK, A CONDO, THE","602 S ROME AVE","","TAMPA","FL","33606","2026","88","88","0"
"Condominium Project","68","PR1S015763","VALENCIA RESIDENCES","627 ALHAMBRA ROAD","","VENICE","FL","342852504","2026","504","504","0"
"Condominium Project","68","PR1S015763","VALENCIA RESIDENCES","627 ALHAMBRA ROAD","","VENICE","FL","342852504","2025","504","504","0"
"Condominium Project","68","PR1S015763","VALENCIA RESIDENCES","627 ALHAMBRA ROAD","","VENICE","FL","342852504","2024","504","504","0"
"Condominium Project","68","PR1S015763","VALENCIA RESIDENCES","627 ALHAMBRA ROAD","","VENICE","FL","342852504","2023","504","504","0"
"Condominium Project","68","PR1S015763","VALENCIA RESIDENCES","627 ALHAMBRA ROAD","","VENICE","FL","342852504","2022","504","504","0"
"Condominium Project","47","PR1S022438","VALENCIA SQUARE TOWNHOMES CONDOS","CORNER OF VALENCIA & ESCAMBIA","","TALLAHASSEE","FL","32304","2023","76","76","0"
"Condominium Project","47","PR1S022438","VALENCIA SQUARE TOWNHOMES CONDOS","CORNER OF VALENCIA & ESCAMBIA","","TALLAHASSEE","FL","32304","2022","76","83.6","0"
"Condominium Project","47","PR1S022438","VALENCIA SQUARE TOWNHOMES CONDOS","CORNER OF VALENCIA & ESCAMBIA","","TALLAHASSEE","FL","32304","2026","","",""
"Condominium Project","47","PR1S022438","VALENCIA SQUARE TOWNHOMES CONDOS","CORNER OF VALENCIA & ESCAMBIA","","TALLAHASSEE","FL","32304","2025","76","0","83.6"
"Condominium Project","47","PR1S022438","VALENCIA SQUARE TOWNHOMES CONDOS","CORNER OF VALENCIA & ESCAMBIA","","TALLAHASSEE","FL","32304","2024","76","76","0"
"Condominium Project","23","PR75626","VALENCIA TERRACE CONDO","6825 WES FLAGLER STREET","","MIAMI","FL","33144","2022","152","152","0"
"Condominium Project","23","PR75626","VALENCIA TERRACE CONDO","6825 WES FLAGLER STREET","","MIAMI","FL","33144","2023","152","152","0"
"Condominium Project","23","PR75626","VALENCIA TERRACE CONDO","6825 WES FLAGLER STREET","","MIAMI","FL","33144","2024","152","152","0"
"Condominium Project","23","PR75626","VALENCIA TERRACE CONDO","6825 WES FLAGLER STREET","","MIAMI","FL","33144","2025","152","152","0"
"Condominium Project","23","PR75626","VALENCIA TERRACE CONDO","6825 WES FLAGLER STREET","","MIAMI","FL","33144","2026","152","152","0"
"Condominium Project","23","PR72473","VALENCIA TOWERS, A CONDO","6060 - 6130 W 21ST COURT","","HIALEAH","FL","33012","2022","384","384","0"
"Condominium Project","23","PR72473","VALENCIA TOWERS, A CONDO","6060 - 6130 W 21ST COURT","","HIALEAH","FL","33012","2023","384","384","0"
"Condominium Project","23","PR72473","VALENCIA TOWERS, A CONDO","6060 - 6130 W 21ST COURT","","HIALEAH","FL","33012","2024","384","384","0"
"Condominium Project","23","PR72473","VALENCIA TOWERS, A CONDO","6060 - 6130 W 21ST COURT","","HIALEAH","FL","33012","2025","384","384","0"
"Condominium Project","23","PR72473","VALENCIA TOWERS, A CONDO","6060 - 6130 W 21ST COURT","","HIALEAH","FL","33012","2026","384","384","0"
"Condominium Project","23","PR75592","VALENCIA TOWNHOMES, A CONDO","530 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2022","24","24","0"
"Condominium Project","23","PR75592","VALENCIA TOWNHOMES, A CONDO","530 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2023","24","24","0"
"Condominium Project","23","PR75592","VALENCIA TOWNHOMES, A CONDO","530 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2024","24","24","0"
"Condominium Project","23","PR75592","VALENCIA TOWNHOMES, A CONDO","530 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2025","24","24","0"
"Condominium Project","23","PR75592","VALENCIA TOWNHOMES, A CONDO","530 VALENCIA AVENUE","","CORAL GABLES","FL","33146","2026","24","24","0"
"Condominium Project","23","PR1S002732","VALENCIA TOWNHOUSE, A CONDO","400 VALENCIA AVENUE","","CORAL GABLES","FL","331345754","2024","28","28","0"
"Condominium Project","23","PR1S002732","VALENCIA TOWNHOUSE, A CONDO","400 VALENCIA AVENUE","","CORAL GABLES","FL","331345754","2025","28","30.8","0"
"Condominium Project","23","PR1S002732","VALENCIA TOWNHOUSE, A CONDO","400 VALENCIA AVENUE","","CORAL GABLES","FL","331345754","2026","28","28","0"
"Condominium Project","23","PR1S002732","VALENCIA TOWNHOUSE, A CONDO","400 VALENCIA AVENUE","","CORAL GABLES","FL","331345754","2022","28","28","0"
"Condominium Project","23","PR1S002732","VALENCIA TOWNHOUSE, A CONDO","400 VALENCIA AVENUE","","CORAL GABLES","FL","331345754","2023","28","28","0"
"Condominium Project","16","PR1P004013","VALENCIA VILLAGE CONDO","26 NORTH VALENCIA DRIVE","","DAVIE","FL","333245438","2025","1244","1244","0"
"Condominium Project","16","PR1P004013","VALENCIA VILLAGE CONDO","26 NORTH VALENCIA DRIVE","","DAVIE","FL","333245438","2026","1244","1244","0"
"Condominium Project","16","PR1P004013","VALENCIA VILLAGE CONDO","26 NORTH VALENCIA DRIVE","","DAVIE","FL","333245438","2023","1244","1244","0"
"Condominium Project","16","PR1P004013","VALENCIA VILLAGE CONDO","26 NORTH VALENCIA DRIVE","","DAVIE","FL","333245438","2022","1244","1244","0"
"Condominium Project","16","PR1P004013","VALENCIA VILLAGE CONDO","26 NORTH VALENCIA DRIVE","","DAVIE","FL","333245438","2024","1244","1244","0"
"Condominium Project","46","PR69937","VALENCIA VILLAS AT BAY BEACH, A CONDO","372 LENNELL ROAD","","FORT MYERS","FL","33931","2022","48","48","0"
"Condominium Project","46","PR69937","VALENCIA VILLAS AT BAY BEACH, A CONDO","372 LENNELL ROAD","","FORT MYERS","FL","33931","2023","48","48","0"
"Condominium Project","46","PR69937","VALENCIA VILLAS AT BAY BEACH, A CONDO","372 LENNELL ROAD","","FORT MYERS","FL","33931","2024","48","48","0"
"Condominium Project","46","PR69937","VALENCIA VILLAS AT BAY BEACH, A CONDO","372 LENNELL ROAD","","FORT MYERS","FL","33931","2025","48","52.8","0"
"Condominium Project","46","PR69937","VALENCIA VILLAS AT BAY BEACH, A CONDO","372 LENNELL ROAD","","FORT MYERS","FL","33931","2026","48","48","0"
"Condominium Project","23","PR1P024248","VALENCIA VILLAS CONDO","3242-3298 WEST 70TH STREET","","HIALEAH","FL","33016","2023","400","400","0"
"Condominium Project","23","PR1P024248","VALENCIA VILLAS CONDO","3242-3298 WEST 70TH STREET","","HIALEAH","FL","33016","2022","400","400","0"
"Condominium Project","23","PR1P024248","VALENCIA VILLAS CONDO","3242-3298 WEST 70TH STREET","","HIALEAH","FL","33016","2026","400","400","0"
"Condominium Project","23","PR1P024248","VALENCIA VILLAS CONDO","3242-3298 WEST 70TH STREET","","HIALEAH","FL","33016","2025","400","400","0"
"Condominium Project","23","PR1P024248","VALENCIA VILLAS CONDO","3242-3298 WEST 70TH STREET","","HIALEAH","FL","33016","2024","400","400","0"
"Condominium Project","23","PR71440","VALENCIA, A CONDO","6001 SW 70 STREET","","SOUTH MIAMI","FL","33143","2022","1176","1176","0"
"Condominium Project","23","PR71440","VALENCIA, A CONDO","6001 SW 70 STREET","","SOUTH MIAMI","FL","33143","2023","1176","1176","0"
"Condominium Project","23","PR71440","VALENCIA, A CONDO","6001 SW 70 STREET","","SOUTH MIAMI","FL","33143","2024","1176","1176","0"
"Condominium Project","23","PR71440","VALENCIA, A CONDO","6001 SW 70 STREET","","SOUTH MIAMI","FL","33143","2025","1176","1176","0"
"Condominium Project","23","PR71440","VALENCIA, A CONDO","6001 SW 70 STREET","","SOUTH MIAMI","FL","33143","2026","","",""
"Condominium Project","68","PR1U023546","VALENCIA, A CONDO","629 ALHAMBRA RD","","VENICE","FL","34285","2024","68","68","0"
"Condominium Project","68","PR1U023546","VALENCIA, A CONDO","629 ALHAMBRA RD","","VENICE","FL","34285","2025","68","74.8","0"
"Condominium Project","68","PR1U023546","VALENCIA, A CONDO","629 ALHAMBRA RD","","VENICE","FL","34285","2026","68","68","0"
"Condominium Project","68","PR1U023546","VALENCIA, A CONDO","629 ALHAMBRA RD","","VENICE","FL","34285","2022","68","68","0"
"Condominium Project","68","PR1U023546","VALENCIA, A CONDO","629 ALHAMBRA RD","","VENICE","FL","34285","2023","68","68","0"
"Condominium Project","23","PR1S004935","VALENTINO CONDO, A CONDO","1631-32 WEST 42ND PLACE","","HIALEAH","FL","33012","2024","32","32","0"
"Condominium Project","23","PR1S004935","VALENTINO CONDO, A CONDO","1631-32 WEST 42ND PLACE","","HIALEAH","FL","33012","2025","32","32","0"
"Condominium Project","23","PR1S004935","VALENTINO CONDO, A CONDO","1631-32 WEST 42ND PLACE","","HIALEAH","FL","33012","2026","32","32","0"
"Condominium Project","23","PR1S004935","VALENTINO CONDO, A CONDO","1631-32 WEST 42ND PLACE","","HIALEAH","FL","33012","2023","32","32","0"
"Condominium Project","23","PR1S004935","VALENTINO CONDO, A CONDO","1631-32 WEST 42ND PLACE","","HIALEAH","FL","33012","2022","32","35.2","0"
"Condominium Project","60","PR76613","VALHALLA CONDO, A CONDO","1225 GEORGE BUSH BLVD","","DELRAY BEACH","FL","33483","2022","32","32","0"
"Condominium Project","60","PR76613","VALHALLA CONDO, A CONDO","1225 GEORGE BUSH BLVD","","DELRAY BEACH","FL","33483","2023","32","32","0"
"Condominium Project","60","PR76613","VALHALLA CONDO, A CONDO","1225 GEORGE BUSH BLVD","","DELRAY BEACH","FL","33483","2024","32","32","0"
"Condominium Project","60","PR76613","VALHALLA CONDO, A CONDO","1225 GEORGE BUSH BLVD","","DELRAY BEACH","FL","33483","2025","32","32","0"
"Condominium Project","60","PR76613","VALHALLA CONDO, A CONDO","1225 GEORGE BUSH BLVD","","DELRAY BEACH","FL","33483","2026","32","32","0"
"Condominium Project","16","PR1S018716","VALIANT HOUSE","801 SOUTH OCEAN DRIVE","","HOLLYWOOD","FL","330192102","2022","252","252","0"
"Condominium Project","16","PR1S018716","VALIANT HOUSE","801 SOUTH OCEAN DRIVE","","HOLLYWOOD","FL","330192102","2023","252","252","0"
"Condominium Project","16","PR1S018716","VALIANT HOUSE","801 SOUTH OCEAN DRIVE","","HOLLYWOOD","FL","330192102","2024","252","277.2","0"
"Condominium Project","16","PR1S018716","VALIANT HOUSE","801 SOUTH OCEAN DRIVE","","HOLLYWOOD","FL","330192102","2026","252","252","0"
"Condominium Project","16","PR1S018716","VALIANT HOUSE","801 SOUTH OCEAN DRIVE","","HOLLYWOOD","FL","330192102","2025","252","252","0"
"Condominium Project","23","PR72095","VALLEY GATE CORPORATION, A CONDO","10545 SW 178TH STREET","","MIAMI","FL","33157","2022","","",""
"Condominium Project","23","PR72095","VALLEY GATE CORPORATION, A CONDO","10545 SW 178TH STREET","","MIAMI","FL","33157","2023","","",""
"Condominium Project","23","PR72095","VALLEY GATE CORPORATION, A CONDO","10545 SW 178TH STREET","","MIAMI","FL","33157","2024","","",""
"Condominium Project","23","PR72095","VALLEY GATE CORPORATION, A CONDO","10545 SW 178TH STREET","","MIAMI","FL","33157","2025","","",""
"Condominium Project","23","PR72095","VALLEY GATE CORPORATION, A CONDO","10545 SW 178TH STREET","","MIAMI","FL","33157","2026","","",""
"Condominium Project","21","PR1S019260","VALLEY STREAM COURT","200 & 300 VALLEY STREAM DRIVE","","NAPLES","FL","33942","2025","192","192","0"
"Condominium Project","21","PR1S019260","VALLEY STREAM COURT","200 & 300 VALLEY STREAM DRIVE","","NAPLES","FL","33942","2026","192","192","0"
"Condominium Project","21","PR1S019260","VALLEY STREAM COURT","200 & 300 VALLEY STREAM DRIVE","","NAPLES","FL","33942","2024","192","192","0"
"Condominium Project","21","PR1S019260","VALLEY STREAM COURT","200 & 300 VALLEY STREAM DRIVE","","NAPLES","FL","33942","2022","192","192","0"
"Condominium Project","21","PR1S019260","VALLEY STREAM COURT","200 & 300 VALLEY STREAM DRIVE","","NAPLES","FL","33942","2023","192","192","0"
"Condominium Project","21","PR1S018004","VALLEY STREAM TOWNHOUSE CONDO","600 VALLEY STREAM DRIVE","","NAPLES","FL","339624135","2023","136","136","0"
"Condominium Project","21","PR1S018004","VALLEY STREAM TOWNHOUSE CONDO","600 VALLEY STREAM DRIVE","","NAPLES","FL","339624135","2022","136","136","0"
"Condominium Project","21","PR1S018004","VALLEY STREAM TOWNHOUSE CONDO","600 VALLEY STREAM DRIVE","","NAPLES","FL","339624135","2024","136","136","0"
"Condominium Project","21","PR1S018004","VALLEY STREAM TOWNHOUSE CONDO","600 VALLEY STREAM DRIVE","","NAPLES","FL","339624135","2025","136","136","0"
